dataset,k_name,k,n,L,linear_regret,linear_regret_per_k
NeurIPS,k50pct,2017,4034,7.845693807889747,6.351132536751265,0.0031488014559996357
NeurIPS,k50pct,2017,4034,9.793139002440872,4.3006858102799015,0.0021322190432721375
NeurIPS,k50pct,2017,4034,10.300840336136194,4.013787491071525,0.0019899789246760166
NeurIPS,k50pct,2017,4034,12.2239758355959,3.1017467000456236,0.0015378020327444838
NeurIPS,k50pct,2017,4034,15.258190983706973,1.9832806231147515,0.0009832824110633375
NeurIPS,k50pct,2017,4034,19.04555401830337,0.7565588466209192,0.00037509114854780327
NeurIPS,k50pct,2017,4034,23.773010067277696,0.12871497641799579,6.381506019732066e-05
NeurIPS,k50pct,2017,4034,29.67390747025548,0.004435810738186774,2.1992120665278997e-06
NeurIPS,k50pct,2017,4034,37.039515907381976,-4.547473508864641e-13,-2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,46.23340353906517,-4.547473508864641e-13,-2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,57.70938281566566,-2.2737367544323206e-13,-1.1272864424552902e-16
NeurIPS,k50pct,2017,4034,72.03391076650955,-2.2737367544323206e-13,-1.1272864424552902e-16
NeurIPS,k50pct,2017,4034,89.91404945174524,0.0,0.0
NeurIPS,k50pct,2017,4034,112.23236671150718,0.0,0.0
NeurIPS,k50pct,2017,4034,140.09049992155312,0.0,0.0
NeurIPS,k50pct,2017,4034,174.86353307257187,-4.547473508864641e-13,-2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,218.26787123855584,-4.547473508864641e-13,-2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,272.4459627339156,-4.547473508864641e-13,-2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,340.07205086489364,-4.547473508864641e-13,-2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,424.4841752065282,-4.547473508864641e-13,-2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,529.8489380191749,-4.547473508864641e-13,-2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,661.3671687135478,9.094947017729282e-13,4.509145769821161e-16
NeurIPS,k50pct,2017,4034,825.5306380105369,9.094947017729282e-13,4.509145769821161e-16
NeurIPS,k50pct,2017,4034,931.6009862633726,9.094947017729282e-13,4.509145769821161e-16
NeurIPS,k50pct,2017,4034,1030.4424932669374,4.547473508864641e-13,2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,1286.2172317299635,4.547473508864641e-13,2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,1605.4799544941982,4.547473508864641e-13,2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,1852.9011321906091,4.547473508864641e-13,2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,2003.9895444534366,4.547473508864641e-13,2.2545728849105805e-16
NeurIPS,k50pct,2017,4034,2501.4165284573223,6.821210263296962e-12,3.381859327365871e-15
Swiss NSF,k10pct,35,353,1.6470588235294126,0.8629322589941282,0.024655207399832235
Swiss NSF,k10pct,35,353,2.3201798201798214,0.46154491257356867,0.013186997502101961
Swiss NSF,k10pct,35,353,2.9933008168302297,0.23967756245621175,0.006847930355891764
Swiss NSF,k10pct,35,353,3.6664218134806386,0.18411593238115387,0.005260455210890111
Swiss NSF,k10pct,35,353,4.339542810131047,0.1441956737830985,0.004119876393802814
Swiss NSF,k10pct,35,353,4.705882352941179,0.12488598041818832,0.003568170869091095
Swiss NSF,k10pct,35,353,5.012663806781456,0.1087155835283049,0.0031061595293801402
Swiss NSF,k10pct,35,353,5.685784803431865,0.07323549327350776,0.0020924426649573647
Swiss NSF,k10pct,35,353,5.939798163014133,0.060104632790690005,0.001717275222591143
Swiss NSF,k10pct,35,353,6.358905800082274,0.0496850596180991,0.0014195731319456887
Swiss NSF,k10pct,35,353,7.032026796732682,0.04539776031859333,0.0012970788662455236
Swiss NSF,k10pct,35,353,7.705147793383091,0.04111046101910176,0.0011745846005457646
Swiss NSF,k10pct,35,353,8.3782687900335,0.03682316171959599,0.0010520903348455997
Swiss NSF,k10pct,35,353,9.051389786683908,0.03297265824732776,0.0009420759499236502
Swiss NSF,k10pct,35,353,9.36871345031696,0.03126050041620587,0.0008931571547487392
Swiss NSF,k10pct,35,353,9.724510783334317,0.029340753294157196,0.0008383072369759198
Swiss NSF,k10pct,35,353,10.397631779984726,0.02570884834099374,0.0007345385240283926
Swiss NSF,k10pct,35,353,11.070752776635135,0.022076943387830283,0.0006307698110808652
Swiss NSF,k10pct,35,353,11.688605512134927,0.01874324495686608,0.000535521284481888
Swiss NSF,k10pct,35,353,11.743873773285543,0.018445038434673933,0.0005270010981335409
Swiss NSF,k10pct,35,353,12.416994769935952,0.014813133481506924,0.0004232323851859121
Swiss NSF,k10pct,35,353,13.090115766586361,0.011181228528336362,0.00031946367223818176
Swiss NSF,k10pct,35,353,13.763236763236769,0.009661185952801077,0.00027603388436574504
Swiss NSF,k10pct,35,353,14.436357759887178,0.008843857601551264,0.00025268164575860755
Swiss NSF,k10pct,35,353,15.109478756537587,0.008026529250276582,0.0002293294071507595
Swiss NSF,k10pct,35,353,15.782599753187995,0.0072092008990161105,0.00020597716854331744
Swiss NSF,k10pct,35,353,16.455720749838402,0.006391872547752087,0.0001826249299357739
Swiss NSF,k10pct,35,353,17.128841746488813,0.005574544196488063,0.00015927269132823036
Swiss NSF,k10pct,35,353,17.80196274313922,0.004757215845224039,0.00013592045272068683
Swiss NSF,k10pct,35,353,18.475083739789632,0.0042959863750056115,0.00012274246785730318
Swiss NSF,k10pct,35,353,18.671328671328677,0.004203151758954249,0.00012009005025583568
Swiss NSF,k10pct,35,353,19.14820473644004,0.0039775632249607895,0.00011364466357030828
Swiss NSF,k10pct,35,353,19.821325733090447,0.00365914007491952,0.00010454685928341486
Swiss NSF,k10pct,35,353,20.494446729740858,0.0033407169248818036,9.544905499662297e-05
Swiss NSF,k10pct,35,353,21.167567726391265,0.003022293774833429,8.635125070952654e-05
Swiss NSF,k10pct,35,353,21.840688723041673,0.0027038706247921596,7.725344642263313e-05
Swiss NSF,k10pct,35,353,22.513809719692084,0.002385447474754443,6.815564213584123e-05
