dataset,k_name,rank_target,mechanism,item_idx,review_col,k,L,tick,l11_delta,utility_before,utility_after,utility_delta_abs,l1_prob_change,local_smoothness,softmax_search_samples,softmax_search_reps,softmax_final_samples,softmax_final_reps
Beta,k33pct,k+1,linear,125,0,67,0.2,0.1111111111111111,0.1111111111111111,0.5942645695925027,0.5720423473702805,0.022222222222222254,0.022111111111120574,0.19900000000008516,0,0,0,0
Beta,k33pct,k+1,softmax,125,0,67,0.2,0.1111111111111111,0.11111111111111116,0.5942645695925027,0.616486791814725,0.022222222222222254,0.017466666666666786,0.157200000000001,800,2,10000,3
Beta,k33pct,k,linear,34,0,67,0.4,0.1111111111111111,0.1111111111111111,0.5955029520887745,0.5732807298665522,0.022222222222222254,0.04420677361853504,0.3978609625668154,0,0,0,0
Beta,k33pct,k,softmax,34,0,67,0.4,0.1111111111111111,0.1111111111111111,0.5955029520887745,0.5732807298665522,0.022222222222222254,0.03753333333333346,0.33780000000000115,800,2,10000,3
Beta,k33pct,k+1,linear,125,0,67,0.4,0.1111111111111111,0.11111111111111116,0.5942645695925027,0.616486791814725,0.022222222222222254,0.04420677361853887,0.39786096256684966,0,0,0,0
Beta,k33pct,k+1,softmax,125,0,67,0.4,0.1111111111111111,0.1111111111111111,0.5942645695925027,0.5720423473702805,0.022222222222222254,0.03866666666666669,0.3480000000000002,800,2,10000,3
Beta,k33pct,k,linear,34,0,67,0.6,0.1111111111111111,0.1111111111111111,0.5955029520887745,0.5732807298665522,0.022222222222222254,0.06623376623377684,0.5961038961039916,0,0,0,0
Beta,k33pct,k,softmax,34,0,67,0.6,0.1111111111111111,0.11111111111111116,0.5955029520887745,0.6177251743109966,0.022222222222222143,0.05713333333333346,0.5142000000000009,800,2,10000,3
Beta,k33pct,k+1,linear,125,0,67,0.6,0.1111111111111111,0.1111111111111111,0.5942645695925027,0.5720423473702805,0.022222222222222254,0.06623376623377683,0.5961038961039915,0,0,0,0
Beta,k33pct,k+1,softmax,125,0,67,0.6,0.1111111111111111,0.11111111111111116,0.5942645695925027,0.616486791814725,0.022222222222222254,0.05740000000000012,0.5166000000000008,800,2,10000,3
Beta,k33pct,k,linear,34,0,67,0.8,0.1111111111111111,0.11111111111111116,0.5955029520887745,0.6177251743109966,0.022222222222222143,0.0881720430107491,0.7935483870967416,0,0,0,0
Beta,k33pct,k,softmax,34,0,67,0.8,0.1111111111111111,0.1111111111111111,0.5955029520887745,0.5732807298665522,0.022222222222222254,0.06960000000000006,0.6264000000000006,800,2,10000,3
Beta,k33pct,k+1,linear,125,0,67,0.8,0.1111111111111111,0.11111111111111116,0.5942645695925027,0.616486791814725,0.022222222222222254,0.08817204301074932,0.7935483870967436,0,0,0,0
Beta,k33pct,k+1,softmax,125,0,67,0.8,0.1111111111111111,0.1111111111111111,0.5942645695925027,0.5720423473702805,0.022222222222222254,0.07339999999999998,0.6605999999999999,800,2,10000,3
Beta,k33pct,k,linear,34,0,67,1.0,0.1111111111111111,0.1111111111111111,0.5955029520887745,0.5732807298665522,0.022222222222222254,0.11010101010100908,0.9909090909090817,0,0,0,0
