k_name,alpha,beta,trial,n,r,k,L_multiplier,L,regret_linear,regret_softmax,regret_linear_per_k,regret_softmax_per_k
k10pct,5,5,12,200,5,20,2.0,0.4,2.1403367092206924,3.9022185840964347,0.10701683546103462,0.19511092920482173
k10pct,5,5,13,200,5,20,1.0,0.2,2.877459631750444,4.296223449842014,0.1438729815875222,0.2148111724921007
k10pct,5,5,13,200,5,20,2.0,0.4,2.0001055266261645,3.751098691721211,0.10000527633130822,0.18755493458606054
k10pct,5,5,14,200,5,20,1.0,0.2,3.1780317328999104,4.865612478947607,0.1589015866449955,0.24328062394738037
k10pct,5,5,14,200,5,20,2.0,0.4,2.0495493022788143,4.180795604180307,0.10247746511394071,0.20903978020901537
k10pct,5,5,15,200,5,20,1.0,0.2,3.085944947437884,4.59161980248796,0.1542972473718942,0.229580990124398
k10pct,5,5,15,200,5,20,2.0,0.4,2.1243391670001532,4.0285614669146135,0.10621695835000766,0.20142807334573068
k10pct,5,5,16,200,5,20,1.0,0.2,3.100741595965731,4.738079334503254,0.15503707979828657,0.23690396672516273
k10pct,5,5,16,200,5,20,2.0,0.4,2.200237836383163,4.104941261156439,0.11001189181915816,0.20524706305782195
k10pct,5,5,17,200,5,20,1.0,0.2,3.1342884734184224,4.9080916562059596,0.15671442367092112,0.24540458281029798
k10pct,5,5,17,200,5,20,2.0,0.4,2.0743326894699496,4.2182179521554755,0.10371663447349748,0.21091089760777376
k10pct,5,5,18,200,5,20,1.0,0.2,3.3906083519005037,4.851677472596197,0.16953041759502518,0.24258387362980988
k10pct,5,5,18,200,5,20,2.0,0.4,2.404191266514138,4.300338240193364,0.1202095633257069,0.2150169120096682
k10pct,5,5,19,200,5,20,1.0,0.2,2.8218778413716077,4.609362769212462,0.1410938920685804,0.23046813846062308
k10pct,5,5,19,200,5,20,2.0,0.4,1.8680839571013372,3.94587692715319,0.09340419785506686,0.1972938463576595
k10pct,6,6,0,200,5,20,1.0,0.2,2.8799046436317433,4.089714162570202,0.14399523218158716,0.20448570812851008
k10pct,6,6,0,200,5,20,2.0,0.4,1.9687737059964743,3.6347377408776786,0.09843868529982372,0.18173688704388394
k10pct,6,6,1,200,5,20,1.0,0.2,3.252326129240899,4.4866183996314195,0.16261630646204495,0.22433091998157098
k10pct,6,6,1,200,5,20,2.0,0.4,2.296134591146574,4.009371214015843,0.1148067295573287,0.20046856070079216
k10pct,6,6,2,200,5,20,1.0,0.2,3.1176785443046597,4.509040761132516,0.15588392721523298,0.22545203805662578
k10pct,6,6,2,200,5,20,2.0,0.4,2.1323857351551947,3.98908978600576,0.10661928675775974,0.199454489300288
k10pct,6,6,3,200,5,20,1.0,0.2,2.876251003876316,4.232146535280727,0.1438125501938158,0.21160732676403632
k10pct,6,6,3,200,5,20,2.0,0.4,1.9554718640479631,3.7383670521300942,0.09777359320239816,0.18691835260650472
k10pct,6,6,4,200,5,20,1.0,0.2,3.0935509990228542,4.3576195782247975,0.15467754995114272,0.21788097891123986
k10pct,6,6,4,200,5,20,2.0,0.4,2.1168790768606307,3.8701793475703976,0.10584395384303154,0.19350896737851989
k10pct,6,6,5,200,5,20,1.0,0.2,2.827980005356771,4.05235523808042,0.14139900026783855,0.20261776190402098
k10pct,6,6,5,200,5,20,2.0,0.4,1.9487854633579662,3.5938465634269097,0.09743927316789831,0.17969232817134548
k10pct,6,6,6,200,5,20,1.0,0.2,3.4734414717994326,4.892572378138173,0.17367207358997164,0.24462861890690862
k10pct,6,6,6,200,5,20,2.0,0.4,2.3537531405307064,4.351963186547268,0.11768765702653532,0.2175981593273634
k10pct,6,6,7,200,5,20,1.0,0.2,2.991830123065009,4.458212197533085,0.14959150615325045,0.22291060987665423
k10pct,6,6,7,200,5,20,2.0,0.4,2.0877653488521197,3.919329752096388,0.10438826744260599,0.1959664876048194
k10pct,6,6,8,200,5,20,1.0,0.2,3.2022515870660175,4.631646344961025,0.16011257935330087,0.23158231724805126
k10pct,6,6,8,200,5,20,2.0,0.4,2.1722510518274465,4.095128785499316,0.10861255259137233,0.2047564392749658
k10pct,6,6,9,200,5,20,1.0,0.2,2.5939743190263993,3.8014391447563725,0.12969871595131996,0.1900719572378186
k10pct,6,6,9,200,5,20,2.0,0.4,1.8531713163028751,3.364000049399415,0.09265856581514376,0.16820000246997074
k10pct,6,6,10,200,5,20,1.0,0.2,2.7925048116011535,4.017918932463644,0.13962524058005768,0.2008959466231822
k10pct,6,6,10,200,5,20,2.0,0.4,1.9759166263769377,3.5729849650994403,0.09879583131884688,0.17864924825497203
k10pct,6,6,11,200,5,20,1.0,0.2,2.9899943584205264,4.340799033013731,0.14949971792102631,0.21703995165068654
k10pct,6,6,11,200,5,20,2.0,0.4,2.160876300321272,3.8176178230952456,0.1080438150160636,0.19088089115476228
k10pct,6,6,12,200,5,20,1.0,0.2,2.7736195799005223,3.881908290307269,0.13868097899502613,0.19409541451536344
k10pct,6,6,12,200,5,20,2.0,0.4,1.975753844578918,3.482096476182985,0.0987876922289459,0.17410482380914924
k10pct,6,6,13,200,5,20,1.0,0.2,2.851129545526847,4.095210592428915,0.14255647727634235,0.20476052962144572
k10pct,6,6,13,200,5,20,2.0,0.4,1.9565302648560792,3.6307563481249296,0.09782651324280396,0.18153781740624647
k10pct,6,6,14,200,5,20,1.0,0.2,2.9003301935213575,4.12292669310753,0.14501650967606788,0.20614633465537652
